800 0 0.3048 71.3 0.00266337 1
1000 0 0.3048 71.3 0.00266337 0
1250 0 0.3048 71.3 0.00266337 1
1600 0 0.3048 71.3 0.00266337 1
2000 0 0.3048 71.3 0.00266337 1
2500 0 0.3048 71.3 0.00266337 0
3150 0 0.3048 71.3 0.00266337 0
4000 0 0.3048 71.3 0.00266337 0
5000 0 0.3048 71.3 0.00266337 0
6300 0 0.3048 71.3 0.00266337 0
8000 0 0.3048 71.3 0.00266337 0
10000 0 0.3048 71.3 0.00266337 0
12500 0 0.3048 71.3 0.00266337 0
16000 0 0.3048 71.3 0.00266337 0
500 0 0.3048 55.5 0.00283081 1
630 0 0.3048 55.5 0.00283081 1
800 0 0.3048 55.5 0.00283081 1
1000 0 0.3048 55.5 0.00283081 1
1250 0 0.3048 55.5 0.00283081 1
1600 0 0.3048 55.5 0.00283081 1
2000 0 0.3048 55.5 0.00283081 1
2500 0 0.3048 55.5 0.00283081 0
3150 0 0.3048 55.5 0.00283081 0
4000 0 0.3048 55.5 0.00283081 0
5000 0 0.3048 55.5 0.00283081 0
6300 0 0.3048 55.5 0.00283081 0
8000 0 0.3048 55.5 0.00283081 0
10000 0 0.3048 55.5 0.00283081 0
12500 0 0.3048 55.5 0.00283081 0
200 0 0.3048 39.6 0.00310138 0
250 0 0.3048 39.6 0.00310138 0
315 0 0.3048 39.6 0.00310138 0
400 0 0.3048 39.6 0.00310138 0
500 0 0.3048 39.6 0.00310138 1
630 0 0.3048 39.6 0.00310138 1
800 0 0.3048 39.6 0.00310138 1
1000 0 0.3048 39.6 0.00310138 1
1250 0 0.3048 39.6 0.00310138 0
1600 0 0.3048 39.6 0.00310138 0
2000 0 0.3048 39.6 0.00310138 0
2500 0 0.3048 39.6 0.00310138 0
3150 0 0.3048 39.6 0.00310138 0
4000 0 0.3048 39.6 0.00310138 0
5000 0 0.3048 39.6 0.00310138 0
6300 0 0.3048 39.6 0.00310138 0
8000 0 0.3048 39.6 0.00310138 0
10000 0 0.3048 39.6 0.00310138 0
12500 0 0.3048 39.6 0.00310138 0
200 0 0.3048 31.7 0.00331266 0
250 0 0.3048 31.7 0.00331266 0
315 0 0.3048 31.7 0.00331266 0
400 0 0.3048 31.7 0.00331266 0
500 0 0.3048 31.7 0.00331266 1
630 0 0.3048 31.7 0.00331266 1
800 0 0.3048 31.7 0.00331266 1
1000 0 0.3048 31.7 0.00331266 1
1250 0 0.3048 31.7 0.00331266 0
1600 0 0.3048 31.7 0.00331266 0
2000 0 0.3048 31.7 0.00331266 0
2500 0 0.3048 31.7 0.00331266 0
3150 0 0.3048 31.7 0.00331266 0
4000 0 0.3048 31.7 0.00331266 0
5000 0 0.3048 31.7 0.00331266 0
6300 0 0.3048 31.7 0.00331266 0
8000 0 0.3048 31.7 0.00331266 0
10000 0 0.3048 31.7 0.00331266 0
800 1.5 0.3048 71.3 0.00336729 1
1000 1.5 0.3048 71.3 0.00336729 1
1250 1.5 0.3048 71.3 0.00336729 1
